,Title,Organization,Skills,Ratings,Review counts,Metadata
0,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
1,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
2,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
3,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
4,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
5,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
6,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
7,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
8,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
9,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
10,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
11,,," Data Presentation, Data Storytelling, Data Cleansing, Data Visualization, Data Validation, Rmarkdown, Data Integrity, Interactive Data Visualization, Data Ethics, Dashboard, Ggplot2, Data Quality, Stakeholder Communications, Data Literacy, Data Visualization Software, Data Analysis, SQL, Interviewing Skills, Analytical Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
12,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
13,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
14,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
15,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
16,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
17,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
18,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
19,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
20,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
21,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
22,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
23,,," Threat Modeling, Intrusion Detection and Prevention, Network Security, Open Web Application Security Project (OWASP), Event Monitoring, Security Controls, Threat Management, Computer Security Incident Management, Security Awareness, Threat Detection, Incident Response, Vulnerability Management, Cyber Attacks, Cybersecurity, Debugging, Relational Databases, Linux, Interviewing Skills, Python Programming, SQL",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
24,,," Project Closure, Agile Project Management, Project Management Life Cycle, Project Planning, Project Management, Project Controls, Milestones (Project Management), Communication Planning, Scope Management, Agile Methodology, Project Risk Management, Project Scoping, Sprint Retrospectives, Sprint Planning, Agile Product Development, Backlogs, Project Schedules, Project Performance, Interviewing Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
25,,," Project Closure, Agile Project Management, Project Management Life Cycle, Project Planning, Project Management, Project Controls, Milestones (Project Management), Communication Planning, Scope Management, Agile Methodology, Project Risk Management, Project Scoping, Sprint Retrospectives, Sprint Planning, Agile Product Development, Backlogs, Project Schedules, Project Performance, Interviewing Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
26,,," Project Closure, Agile Project Management, Project Management Life Cycle, Project Planning, Project Management, Project Controls, Milestones (Project Management), Communication Planning, Scope Management, Agile Methodology, Project Risk Management, Project Scoping, Sprint Retrospectives, Sprint Planning, Agile Product Development, Backlogs, Project Schedules, Project Performance, Interviewing Skills, Applicant Tracking Systems",,,Beginner Â· Professional Certificate Â· 3 - 6 Months
